Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00383011072526205,0.000928737788211999,0.457157273514301,0,0,0,26.0610113726114,1.87464355002268,-2.53087124754727E-05,-0.014715478905658,1.87476517415076,-0.00356830501660734,0.11834660940371,0,0,0,0,0,0,package://barista_robot/meshes/base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://barista_robot/meshes/base_link.STL,,Robot_Platform-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
robot_base,-8.25728228697777E-05,0.0620784408679793,-0.00108614239219215,0,0,0,1.20836476144405,0.0031562038651467,-2.76687841703515E-06,-8.66772096465886E-07,0.00496373152249205,-5.19354690470229E-05,0.00358674288427154,0,0,0,0,0,0,package://barista_robot/meshes/robot_base.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://barista_robot/meshes/robot_base.STL,,base-1,Origin_robot_base_joint,Axis_robot_base_joint,robot_base_joint,fixed,0.0076472,0.0018543,0.91276,1.5688,0.0083757,-0.0011068,base_link,0,0,0,,,,,,,,,,,,
Link_1,5.29382164128232E-08,0.0850432466695747,0.0128932752104662,0,0,0,3.50205715504707,0.0144417466716968,-1.76720854918668E-07,1.27033528349741E-07,0.0120175511780906,-0.000178584855651563,0.0128349355041157,0,0,0,0,0,0,package://barista_robot/meshes/Link_1.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://barista_robot/meshes/Link_1.STL,,link_1-1,Origin_link_1_joint,Axis_link_1_joint,link_1_joint,revolute,0,0.099247,0,0,0.46585,0,robot_base,0,1,0,100,3.14,-3.14,3.14,,,,,,,,
link_2,-1.63530545009734E-06,0.211231437364917,0.152882713335174,0,0,0,5.85231057454819,0.421785968792057,-4.66698955952136E-06,-8.61933981188834E-07,0.0183913103922809,0.000922257685442064,0.418871238998585,0,0,0,0,0,0,package://barista_robot/meshes/link_2.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://barista_robot/meshes/link_2.STL,,link_2-1,Origin_link_2_joint,Axis_link_2_joint,link_2_joint,revolute,0,0.083054,0.024109,0,0,0,Link_1,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
link_3,1.53110060815975E-06,0.265809569671053,0.0201295876152247,0,0,0,4.62234527371938,0.198422158428495,4.85995234595538E-06,-1.51823787104821E-07,0.00626605018851334,0.00588106797289478,0.197534307061617,0,0,0,0,0,0,package://barista_robot/meshes/link_3.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://barista_robot/meshes/link_3.STL,,link_3-1,Origin_link_3_joint,Axis_link_3_joint,link_3_joint,revolute,0,0.6126,0,0,0,0,link_2,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
link_4,-1.65409067374393E-06,0.00153987297982727,0.134078386407816,0,0,0,0.952056234394498,0.00181788273252644,1.83030713911664E-08,-2.83699805857262E-08,0.00150425784838232,-4.60370793799838E-05,0.00132306977239992,0,0,0,0,0,0,package://barista_robot/meshes/link_4.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://barista_robot/meshes/link_4.STL,,link_4-1,Origin_link_4_joint,Axis_link_4_joint,link_4_joint,revolute,0,0.57155,0,0,0,0,link_3,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
link_5,1.19754439253938E-07,0.107894811323263,0.00172520348120131,0,0,0,0.852888399213539,0.00143476123567499,-5.38094070829317E-09,4.87203904200569E-10,0.00122172827947616,-3.67653414285888E-05,0.00112162874820744,0,0,0,0,0,0,package://barista_robot/meshes/link_5.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://barista_robot/meshes/link_5.STL,,link_5-1,Origin_link_5_joint,Axis_link_5_joint,link_5_joint,revolute,0,0.0023315,0.15004,0,0,0,link_4,0,1,0,100,3.14,-3.14,3.14,,,,,,,,
link_6,2.81491482900798E-10,-0.000111459403922876,0.0639973256145779,0,0,0,0.350250328419854,0.000263769355605864,-1.01386732524475E-11,2.90992081234016E-12,0.000265234926115791,8.54378486946284E-09,0.000346928634455195,0,0,0,0,0,0,package://barista_robot/meshes/link_6.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://barista_robot/meshes/link_6.STL,,link_6-1,Origin_link_6_joint,Axis_link_6_joint,link_6_joint,revolute,0,0.11752,0.020667,0,0,0,link_5,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
gripper_base_link,0.000286947815021282,0.0323397938072079,0.000129565492640982,0,0,0,0.225884622704137,0.000175809669038929,3.37704999012043E-10,-8.4322406184789E-09,0.000134409051306673,-1.12870831583151E-07,0.000200275872123387,0,0,0,0,0,0,package://barista_robot/meshes/gripper_base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://barista_robot/meshes/gripper_base_link.STL,,gripper_base-1,Origin_gripper_base_link_joint,,gripper_base_link_joint,fixed,0.00028751,-0.00010687,0.089124,1.5708,0,-3.1416,link_6,0,0,0,,,,,,,,,,,,
left_finger_1,0.0362255356799374,7.19353188127769E-11,-4.18730362437003E-05,0,0,0,0.0276813354629505,6.64066668853769E-06,-5.31597013723193E-14,-1.58101995539253E-14,1.70445818730747E-05,1.13977089624038E-11,1.11317984671145E-05,0,0,0,0,0,0,package://barista_robot/meshes/left_finger_1.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://barista_robot/meshes/left_finger_1.STL,,serial_gripper_finger_1-1,Origin_left_finger_1_joint,Axis_left_finger_1_joint,left_finger_1_joint,revolute,-0.012412,0.061437,0,-3.1416,0,1.5708,gripper_base_link,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
