Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00383011072526205,0.457157273514301,-0.000928737788211971,0,0,0,26.0610113726114,1.87464355002268,-0.014715478905658,2.53087124754718E-05,0.11834660940371,0.00356830501660723,1.87476517415076,0,0,0,0,0,0,package://barista_robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/base_link.STL,,Robot_Platform-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
robot_base,-8.25728228697759E-05,0.0620784408679793,-0.00108614239219215,0,0,0,1.20836476144405,0.0031562038651467,-2.7668784170352E-06,-8.66772096465901E-07,0.00496373152249205,-5.19354690470229E-05,0.00358674288427154,0,0,0,0,0,0,package://barista_robot/meshes/robot_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/robot_base.STL,,base-1,Origin_robot_base_joint,Axis_robot_base_joint,robot_base_joint,continuous,0.00764723572178816,0.00185432675440543,0.912764586526285,1.56875557980304,0.00837565350850774,-0.00110679099009043,base_link,0,1,0,,,,,,,,,,,,
Link_1,5.29382164110885E-08,0.0850432466695747,0.0128932752104662,0,0,0,3.50205715504707,0.0144417466716968,-1.76720854918966E-07,1.27033528348874E-07,0.0120175511780906,-0.000178584855651563,0.0128349355041157,0,0,0,0,0,0,package://barista_robot/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/Link_1.STL,,link_1-1,Origin_link_1_joint,Axis_link_1_joint,link_1_joint,continuous,0,0.0992470344686496,0,0,0.465852120972895,0,robot_base,0,1,0,,,,,,,,,,,,
link_2,-1.63538959695349E-06,0.211231437313278,0.152882713422171,0,0,0,5.85231057682878,0.421785968335089,-4.66685653188514E-06,-8.61905289833986E-07,0.0183913104483783,0.000922257532907184,0.418871238551212,0,0,0,0,0,0,package://barista_robot/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/link_2.STL,,link_2-1,Origin_link_2_joint,Axis_link_2_joint,link_2_joint,continuous,0,0.0830544613923512,0.0241087363932672,0,0,0,Link_1,0,0,1,,,,,,,,,,,,
link_3,1.53109355368816E-06,0.265809569731614,0.0201295876103251,0,0,0,4.62234527435744,0.198422158289813,4.85999774938072E-06,-1.51825927212357E-07,0.00626605018267435,0.00588106796982974,0.197534306912721,0,0,0,0,0,0,package://barista_robot/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/link_3.STL,,link_3-1,Origin_link_3_joint,Axis_link_3_joint,link_3_joint,continuous,0,0.6126,0,0,0,0,link_2,0,0,1,,,,,,,,,,,,
link_4,-1.65259348634903E-06,0.00153989303001056,0.134078404594346,0,0,0,0.952055695094421,0.00181788273241634,1.83047467793671E-08,-2.83696234279008E-08,0.00150425784631242,-4.60370789807922E-05,0.00132306977062697,0,0,0,0,0,0,package://barista_robot/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/link_4.STL,,link_4-1,Origin_link_4_joint,Axis_link_4_joint,link_4_joint,continuous,0,0.571549999999962,0,0,0,0,link_3,0,0,1,,,,,,,,,,,,
link_5,1.34223381187404E-07,0.107894808228803,0.00172519954497102,0,0,0,0.852888053030417,0.00143476123836806,-5.45972664424141E-09,4.83376041369174E-10,0.00122172828134366,-3.6765369527715E-05,0.00112162872969263,0,0,0,0,0,0,package://barista_robot/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/link_5.STL,,link_5-1,Origin_link_5_joint,Axis_link_5_joint,link_5_joint,continuous,0,0.00233145785499556,0.150041263606732,0,0,0,link_4,0,1,0,,,,,,,,,,,,
link_6,2.85180504211446E-10,-0.000111459403921987,0.063997325614578,0,0,0,0.350250328419854,0.000263769355605864,-1.01386731965036E-11,2.90992084622148E-12,0.000265234926115791,8.5437848692158E-09,0.000346928634455195,0,0,0,0,0,0,package://barista_robot/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/link_6.STL,,link_6-1,Origin_link_6_joint,Axis_link_6_joint,link_6_joint,continuous,0,0.117518542145004,0.0206672208045864,0,0,0,link_5,0,0,1,,,,,,,,,,,,
gripper_base_link,0.000286947812769195,0.0323397938062878,0.000129565490909034,0,0,0,0.225884622718037,0.000175809669054233,3.37704859759827E-10,-8.43224085868407E-09,0.000134409051318404,-1.12870838011563E-07,0.000200275872126956,0,0,0,0,0,0,package://barista_robot/meshes/gripper_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/gripper_base_link.STL,,gripper_base-1,Origin_gripper_base_link_joint,Axis_gripper_base_link_joint,gripper_base_link_joint,fixed,0.000287511446909107,-0.000106872909688249,0.0891237823243255,1.57079632679491,0,-3.14159265358978,link_6,0,0,0,,,,,,,,,,,,
left_finger_1,0.0362255356799374,6.97146507189217E-11,-4.1873036241924E-05,0,0,0,0.0276813354629505,6.64066668853769E-06,-5.31597005252863E-14,-1.5810148061105E-14,1.70445818730747E-05,1.1397708952873E-11,1.11317984671145E-05,0,0,0,0,0,0,package://barista_robot/meshes/left_finger_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://barista_robot/meshes/left_finger_1.STL,,serial_gripper_finger_1-1,Origin_left_finger_1_joint,Axis_left_finger_1_joint,left_finger_1_joint,continuous,-0.0124124885523258,0.061436996871086,0,-3.14159265358979,0,1.57079632679484,gripper_base_link,0,0,1,,,,,,,,,,,,
